airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,non_codeshare_route_presence_count,all_listed_route_presence_count,route_presence_uplift,non_codeshare_airport_coverage,all_listed_airport_coverage,airport_coverage_uplift,non_codeshare_country_coverage,all_listed_country_coverage,country_coverage_uplift,non_codeshare_top1_origin_share,all_listed_top1_origin_share,top1_origin_share_difference,non_codeshare_origin_airport_hhi,all_listed_origin_airport_hhi,origin_hhi_difference,non_codeshare_effective_hubs,all_listed_effective_hubs,effective_hubs_difference
id:5368,5368,RG,VRG Linhas Aereas,Brazil,Y,False,False,False,False,8,8,0,4,4,0,1,1,0,0.375,0.375,0,0.28125,0.28125,0,3.55555555555556,3.55555555555556,0
id:3391,3391,RI,Mandala Airlines,Indonesia,Y,False,False,False,False,16,16,0,8,8,0,4,4,0,0.25,0.25,0,0.15625,0.15625,0,6.4,6.4,0
id:11857,11857,RL,Royal Falcon,Jordan,Y,False,False,False,False,7,7,0,5,5,0,4,4,0,0.428571428571429,0.428571428571429,0,0.26530612244898,0.26530612244898,0,3.76923076923077,3.76923076923077,0
id:3097,3097,RQ,Kam Air,Afghanistan,Y,False,False,False,False,5,5,0,4,4,0,4,4,0,0.6,0.6,0,0.44,0.44,0,2.27272727272727,2.27272727272727,0
id:19676,19676,RX,Rainbow Air Polynesia,United States,Y,True,False,False,False,20,20,0,9,9,0,5,5,0,0.4,0.4,0,0.215,0.215,0,4.65116279069767,4.65116279069767,0
id:2226,2226,RZ,Euro Exec Express,Sweden,Y,False,False,False,False,17,17,0,9,9,0,1,1,0,0.529411764705882,0.529411764705882,0,0.307958477508651,0.307958477508651,0,3.24719101123596,3.24719101123596,0
id:4735,4735,S3,Santa Barbara Airlines,Venezuela,Y,False,False,False,False,6,6,0,4,4,0,4,4,0,0.5,0.5,0,0.333333333333333,0.333333333333333,0,3,3,0
id:4822,4822,S5,Shuttle America,United States,Y,False,False,False,False,14,14,0,15,15,0,1,1,0,0.214285714285714,0.214285714285714,0,0.102040816326531,0.102040816326531,0,9.8,9.8,0
id:10776,10776,S6,Salmon Air,United States,Y,False,False,False,False,6,6,0,4,4,0,3,3,0,0.333333333333333,0.333333333333333,0,0.277777777777778,0.277777777777778,0,3.6,3.6,0
id:17099,17099,S9,Starbow Airlines,Ghana,Y,False,False,False,False,8,8,0,5,5,0,2,2,0,0.5,0.5,0,0.3125,0.3125,0,3.2,3.2,0
id:139,139,SB,Air Caledonie International,France,Y,True,False,False,False,22,22,0,11,11,0,8,8,0,0.409090909090909,0.409090909090909,0,0.210743801652893,0.210743801652893,0,4.74509803921569,4.74509803921569,0
id:4521,4521,SD,Sudan Airways,Sudan,Y,True,False,False,False,34,34,0,17,17,0,10,10,0,0.441176470588235,0.441176470588235,0,0.219723183391003,0.219723183391003,0,4.5511811023622,4.5511811023622,0
id:5479,5479,SE,XL Airways France,France,Y,True,False,False,False,32,32,0,17,17,0,11,11,0,0.34375,0.34375,0,0.15625,0.15625,0,6.4,6.4,0
id:4375,4375,SG,Spicejet,India,Y,True,True,True,True,162,162,0,44,44,0,7,7,0,0.160493827160494,0.160493827160494,0,0.0622618503276939,0.0622618503276939,0,16.0611995104039,16.0611995104039,0
id:10675,10675,SH,Sharp Airlines,Australia,Y,False,False,False,False,10,10,0,8,8,0,1,1,0,0.2,0.2,0,0.14,0.14,0,7.14285714285714,7.14285714285714,0
id:4438,4438,SI,Skynet Airlines,Ireland,Y,True,False,False,False,20,20,0,9,9,0,6,6,0,0.4,0.4,0,0.215,0.215,0,4.65116279069767,4.65116279069767,0
