airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,directed_route_presences,distinct_origin_airports,distinct_destination_airports,distinct_airports,distinct_countries,domestic_route_presence_share,international_route_presence_share,reciprocal_route_share,codeshare_route_presence_share
id:345,345,NZ,Air New Zealand,New Zealand,Y,True,True,False,True,80,30,27,31,17,0.2125,0.7875,0.925,0.656652360515021
id:3179,3179,KU,Kuwait Airways,Kuwait,Y,True,True,False,True,79,39,38,39,28,0,1,0.987341772151899,0
id:4349,4349,UL,SriLankan Airlines,Sri Lanka,Y,True,True,False,True,79,38,38,38,22,0.10126582278481,0.89873417721519,0.936708860759494,0.112359550561798
id:4840,4840,DV,Scat Air,Kazakhstan,Y,True,True,False,True,78,26,26,26,6,0.743589743589744,0.256410256410256,1,0
id:1886,1886,V0,Conviasa,Venezuela,Y,True,True,False,True,78,32,32,32,11,0.717948717948718,0.282051282051282,1,0
id:2575,2575,G8,Go Air,India,Y,True,True,False,True,77,21,21,21,1,1,0,0.935064935064935,0
id:19582,19582,JU,Air Serbia,Serbia,Y,True,True,False,True,77,41,41,41,28,0.0779220779220779,0.922077922077922,0.909090909090909,0
id:240,240,AP,Air One,Italy,Y,True,True,False,True,76,24,24,24,11,0.289473684210526,0.710526315789474,1,0.136363636363636
id:2193,2193,EU,Empresa Ecuatoriana De Aviacion,Ecuador,Y,True,True,False,True,76,31,31,31,1,1,0,1,0
id:569,569,IX,Air India Express,India,Y,True,True,False,True,76,21,21,21,9,0.25,0.75,0.894736842105263,0
id:2638,2638,GF,Gulf Air Bahrain,Bahrain,Y,True,True,False,True,75,39,38,39,24,0,1,0.986666666666667,0.025974025974026
code:WT,,WT,,,,True,True,False,True,75,26,26,26,1,1,0,0.72,0
id:4936,4936,TR,Tiger Airways,Singapore,Y,True,True,False,True,74,38,38,38,16,0,1,1,0
id:15814,15814,UR,UTair-Express,Russia,Y,True,True,False,True,74,28,28,28,2,0.972972972972973,0.027027027027027,1,0
id:13088,13088,Y7,NordStar Airlines,Russia,Y,True,True,False,True,74,30,30,30,6,0.783783783783784,0.216216216216216,0.972972972972973,0
id:1308,1308,CG,Airlines PNG,Papua New Guinea,Y,True,True,False,True,73,20,20,20,2,0.972602739726027,0.0273972602739726,0.958904109589041,0
id:2150,2150,LY,El Al Israel Airlines,Israel,Y,True,True,False,True,73,37,37,37,26,0,1,0.986301369863014,0
id:1287,1287,R3,Aircompany Yakutia,Russia,Y,True,True,False,True,73,34,35,35,9,0.657534246575342,0.342465753424658,0.986301369863014,0
id:5360,5360,VA,Virgin Australia,Australia,Y,True,True,False,True,73,31,31,32,8,0.520547945205479,0.479452054794521,0.958904109589041,0.748275862068966
id:2354,2354,7F,First Air,Canada,Y,True,True,False,True,72,32,32,32,1,1,0,0.972222222222222,0.027027027027027
id:1469,1469,7R,BRA-Transportes Aereos,Brazil,N,True,True,False,True,72,32,32,32,4,0.916666666666667,0.0833333333333334,1,0
id:2951,2951,IOS,Isles of Scilly Skybus,United Kingdom,N,True,True,False,True,72,32,32,32,7,0.75,0.25,1,0
id:5133,5133,DT,TAAG Angola Airlines,Angola,Y,True,True,False,True,71,28,28,28,13,0.563380281690141,0.436619718309859,0.957746478873239,0
id:5347,5347,VS,Virgin Atlantic Airways,United Kingdom,Y,True,True,False,True,71,35,34,35,17,0,1,0.985915492957746,0.635897435897436
id:2688,2688,HA,Hawaiian Airlines,United States,Y,True,True,False,True,70,30,31,31,9,0.671428571428571,0.328571428571429,0.942857142857143,0.0540540540540541
id:1066,1066,MD,Air Madagascar,Madagascar,Y,True,True,False,True,69,22,22,22,9,0.608695652173913,0.391304347826087,0.985507246376812,0.08
id:4691,4691,9R,SATENA,Colombia,Y,True,True,False,True,68,30,30,30,1,1,0,1,0
id:20710,20710,3M,Silver Airways (3M),United States,Y,True,True,False,True,67,25,25,25,2,0.671641791044776,0.328358208955224,0.985074626865672,0
id:5097,5097,QS,Travel Service,Czech Republic,Y,True,True,False,True,67,33,34,34,20,0.0298507462686567,0.970149253731343,0.985074626865672,0
id:5331,5331,VX,Virgin America,United States,Y,True,True,False,True,66,21,21,21,2,0.878787878787879,0.121212121212121,1,0
id:20976,20976,W3,World Scale Airlines,United States,Y,True,True,False,True,66,25,25,25,10,0.666666666666667,0.333333333333333,1,0.0571428571428571
id:1472,1472,8E,Bering Air,United States,Y,True,True,False,True,65,27,26,27,1,1,0,0.738461538461539,0
code:3H,,3H,,,,True,True,False,True,64,22,22,22,1,1,0,0.96875,0
id:1663,1663,BW,Caribbean Airlines,Trinidad and Tobago,Y,True,True,False,True,64,19,19,19,14,0.0625,0.9375,1,0
id:4311,4311,NL,Shaheen Air International,Pakistan,Y,True,True,False,True,64,19,19,19,6,0.25,0.75,0.96875,0
id:21,21,ZI,Aigle Azur,France,Y,True,True,False,True,64,21,21,21,6,0,1,1,0
id:1422,1422,PG,Bangkok Airways,Thailand,Y,True,True,False,True,63,28,27,28,12,0.444444444444444,0.555555555555556,0.984126984126984,0.16
id:3251,3251,LI,Leeward Islands Air Transport,Antigua and Barbuda,Y,True,True,False,True,62,19,19,19,17,0,1,0.935483870967742,0
id:3258,3258,LN,Libyan Arab Airlines,Libya,Y,True,True,False,True,62,20,20,20,10,0.258064516129032,0.741935483870968,1,0
id:3490,3490,ME,Middle East Airlines,Lebanon,Y,True,True,False,True,62,30,32,32,23,0,1,0.967741935483871,0.0461538461538462
