airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,mean_route_distance_km,median_route_distance_km,p90_route_distance_km,valid_distance_route_presences,invalid_or_missing_distance_route_presences,domestic_route_presence_share,international_route_presence_share,distinct_country_count,origin_country_count,destination_country_count
id:3000,3000,9W,Jet Airways,India,Y,True,True,True,True,2181.40565747002,1760.86323335638,4204.41584809788,157,0,0.401273885350318,0.598726114649682,18,18,18
id:4687,4687,NK,Spirit Airlines,United States,Y,True,True,True,True,1622.87827294142,1582.41791754858,2467.29758285084,242,0,0.752066115702479,0.247933884297521,18,18,18
id:5234,5234,U6,Ural Airlines,Russia,Y,True,True,True,True,2336.90741149702,2195.23358495019,3595.04780517389,232,0,0.245689655172414,0.754310344827586,18,18,18
id:5309,5309,VN,Vietnam Airlines,Vietnam,Y,True,True,True,True,1995.58298012902,1090.46989598943,4350.47691542882,192,0,0.354166666666667,0.645833333333333,18,18,18
id:5416,5416,WS,WestJet,Canada,Y,True,True,True,True,2012.4754594486,1932.42286482677,3595.94595631931,305,0,0.498360655737705,0.501639344262295,18,18,18
id:1548,1548,FB,Bulgaria Air,Bulgaria,Y,True,True,False,True,1325.36125549457,1363.76035258039,1982.99834614938,56,0,0.107142857142857,0.892857142857143,17,17,17
id:3463,3463,IG,Meridiana,Italy,Y,True,True,True,True,1511.05436235415,947.607974062846,2959.08077404839,100,0,0.41,0.59,17,15,16
id:4867,4867,JJ,TAM Brazilian Airlines,Brazil,Y,True,True,True,True,2082.36871828501,1136.68194767486,6573.59411253612,305,0,0.783606557377049,0.216393442622951,17,17,17
id:83,83,JP,Adria Airways,Slovenia,Y,True,False,False,False,826.872920905363,777.13271446261,1272.50886254119,40,0,0,1,17,17,17
id:242,242,KM,Air Malta,Malta,Y,True,True,False,True,1657.00091273237,1692.34473352733,2482.37354346743,80,0,0,1,17,17,17
id:3200,3200,LA,LAN Airlines,Chile,Y,True,True,True,True,2398.67466709481,1329.51214205614,6473.29115480853,125,0,0.416,0.584,17,17,17
id:3251,3251,LI,Leeward Islands Air Transport,Antigua and Barbuda,Y,True,True,False,True,290.210313141036,196.495897247083,594.432977664876,62,0,0,1,17,17,17
